Time,X,Y,P
0,0.116545328446976,0.237407150540138,0.005
0.008,0.116545328446976,0.270705815810702,0.101
0.008,0.116545328446976,0.270705815810702,0.101
0.022,0.1415193273999,0.287355148445985,0.247
0.039,0.166493326352823,0.370601811622396,0.403
0.057,0.1415193273999,0.437199142163526,0.509
0.073,0.0915713294940529,0.503796472704655,0.556
0.089,-0.00832466631764071,0.503796472704655,0.571
0.105,-0.158168660035182,0.420549809528243,0.612
0.123,-0.35796065165857,0.220757817904855,0.694
0.14,-0.50780464537611,-0.0456315042596622,0.806
0.155,-0.557752643281957,-0.228774163247768,0.851
0.172,-0.557752643281957,-0.445215487506438,0.892
0.189,-0.457856647470264,-0.545111483318132,0.903
0.205,-0.283038654799799,-0.478514152777003,0.905
0.223,-0.0832466631764112,-0.278722161153615,0.911
0.239,0.0915713294940529,-0.0456315042596622,0.907
0.255,0.166493326352823,0.0875631568225965,0.909
0.272,0.21644132425867,0.220757817904855,0.96
0.289,0.191467325305747,0.270705815810702,1
0.307,0.166493326352823,0.187459152634291,1
0.325,0.116545328446976,-0.0123328389890975,1
0.339,0.0915713294940529,-0.162176832706639,1
0.355,0.116545328446976,-0.378618156965309,1
0.373,0.21644132425867,-0.511812818047568,0.786
0.391,0.341311319023288,-0.578410148588697,0.075
0.395,0.366285317976211,-0.578410148588697,0.019
0.397,NaN,NaN,NaN
