Time,X,Y,P
0,-0.0328215560243356,0.511078515236039,0.005
0.018,-0.0773650963430715,0.540774208781864,0.284
0.018,-0.0773650963430715,0.540774208781864,0.284
0.036,-0.166452176980546,0.511078515236039,0.364
0.05,-0.210995717299285,0.392295741052739,0.388
0.068,-0.210995717299285,0.0953388055944897,0.425
0.085,-0.210995717299285,-0.409487984684535,0.431
0.102,-0.166452176980546,-0.825227694326085,0.433
0.121,-0.0328215560243356,-1.03309754914686,0.44
0.135,0.0562655246131393,-1.03309754914686,0.464
0.151,0.189896145569352,-0.884619081417734,0.534
0.169,0.278983226206827,-0.61735783950531,0.562
0.189,0.368070306844302,-0.231313823409585,0.571
0.203,0.368070306844302,0.125034499140315,0.571
0.22,0.278983226206827,0.392295741052739,0.573
0.236,0.145352605250614,0.570469902327689,0.562
0.253,-0.0328215560243356,0.570469902327689,0.485
0.27,-0.210995717299285,0.421991434598564,0.161
0.278,-0.255539257618021,0.362600047506914,0.036
0.28,NaN,NaN,NaN
