Time,X,Y,P
0,-0.232066844878373,0.736212059614151,0.015
0.017,-0.232066844878373,0.714872579625335,0.245
0.017,-0.232066844878373,0.714872579625335,0.245
0.033,-0.232066844878373,0.629514659670071,0.374
0.051,-0.200057624895149,0.458798819759543,0.591
0.067,-0.168048404911925,0.245404019871384,0.829
0.083,-0.136039184928701,0.010669739994408,0.97
0.101,-0.104029964945477,-0.224064539882568,1
0.118,-0.104029964945477,-0.37344089980428,1
0.134,-0.104029964945477,-0.416119859781912,1
0.151,-0.104029964945477,-0.37344089980428,1
0.167,-0.0400115249790291,-0.245404019871384,1
0.185,-0.00800230499580541,-0.0960276599496721,1
0.201,0.0880253549538667,-0.010669739994408,1
0.217,0.120034574937091,-0.010669739994408,1
0.235,0.184053014903539,-0.0960276599496721,1
0.252,0.248071454869987,-0.245404019871384,1
0.268,0.312089894836435,-0.37344089980428,1
0.284,0.408117554786106,-0.48013829974836,0.677
0.3,0.536154434719002,-0.565496219703625,0.048
0.304,NaN,NaN,NaN
