Time,X,Y,P
0,-0.363834119256604,0.310792896197129,0.032
0.016,-0.363834119256604,0.329142292282569,0.261
0.017,-0.363834119256604,0.329142292282569,0.261
0.026,-0.363834119256604,0.329142292282569,0.349
0.039,-0.363834119256604,0.310792896197129,0.411
0.056,-0.336310025128444,0.237395311855372,0.712
0.073,-0.336310025128444,0.145648331428175,0.892
0.089,-0.308785931000288,-0.0378456294262191,1
0.107,-0.281261836872128,-0.166291402024295,1
0.123,-0.253737742743968,-0.29473717462237,1
0.139,-0.226213648615812,-0.331435966793248,1
0.158,-0.226213648615812,-0.313086570707809,1
0.174,-0.226213648615812,-0.27638777853693,1
0.189,-0.198689554487652,-0.0928938176825373,1
0.206,-0.171165460359492,0.0539013510009778,1
0.224,-0.0885931779750153,0.200696519684493,1
0.24,-0.0610690838468552,0.274094104026251,1
0.256,-0.0335449897186951,0.182347123599054,1
0.274,0.021503198537621,0.0539013510009778,1
0.29,0.021503198537621,-0.0745444215970979,1
0.307,0.021503198537621,-0.166291402024295,1
0.324,0.021503198537621,-0.166291402024295,1
0.339,0.0490272926657811,-0.129592609853416,1
0.358,0.104075480922101,-0.00114683725534034,1
0.373,0.159123669178417,0.0906001431718566,1
0.389,0.214171857434734,0.145648331428175,1
0.406,0.296744139819214,0.0906001431718566,1
0.423,0.37931642220369,-0.00114683725534034,1
0.44,0.489412798716326,-0.129592609853416,1
0.457,0.682081457613439,-0.258038382451492,0.823
0.473,0.957322398895028,-0.313086570707809,0.251
0.485,1.14999105779214,-0.331435966793248,0.038
0.486,NaN,NaN,NaN
